"","chart_position","title","artist","year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","id","duration_ms","explicit","popularity","genre1","genre2","genre3","genre4","genre5"
"857",59,"Be Careful","Cardi B",2018,0.82,0.568,6,-8.23,0,0.411,0.0256,0,0.0952,0.535,152,"2Yl4OmDby9iitgNWZPwxkd",210787,"TRUE","69","cali rap","gangster rap","hip hop","pop rap","rap"
"858",60,"Wolves","Selena Gomez",2018,0.725,0.804,11,-4.614,0,0.0422,0.124,0,0.204,0.31,125,"2LPa56nXjHrMY4rHoUDWZC",197993,"FALSE","1","dance pop","pop","pop dance","post-teen pop","dance pop"
"859",61,"Bartier Cardi","Cardi B 21 Savage",2018,0.908,0.524,1,-7.955,1,0.181,0.0011,7e-04,0.383,0.109,138,"0dIoGTQXDh1wVnhIiSyYEa",224285,"TRUE","72","dance pop","pop","post-teen pop","viral pop","dance pop"
"860",62,"God Is A Woman","Ariana Grande",2018,0.602,0.658,1,-5.934,1,0.0558,0.0233,1e-04,0.237,0.268,145,"5OCJzvD7sykQEKHH7qAC3C",197547,"TRUE","80","dance pop","electropop","pop","post-teen pop","viral pop"
"861",63,"Big Bank","YG 2 Chainz Big Sean  Nicki Minaj",2018,0.745,0.346,1,-7.709,1,0.331,0.0055,0,0.0881,0.112,204,"0ZNrc4kNeQYD9koZ3KvCsy",237240,"TRUE","70","alternative r&b","pop","alternative r&b","pop","alternative r&b"
"862",64,"Sorry Not Sorry","Demi Lovato",2018,0.705,0.64,11,-6.928,0,0.225,0.0237,0,0.262,0.887,144,"7gvd8xj4QgPqbQSsn5pV7d",203760,"TRUE","79","dance pop","edm","electro house","house","pop"
"863",65,"How Long","Charlie Puth",2018,0.845,0.561,1,-5.253,0,0.0778,0.211,0,0.0383,0.811,110,"6wmAHw1szh5RCKSRjiXhPe",200853,"FALSE","72","modern rock","rock","modern rock","rock","modern rock"
"864",66,"Lights Down Low","MAX gnash",2018,0.622,0.571,0,-5.338,0,0.0493,0.0458,0,0.122,0.635,81,"60vvp6UXG2KmLmrNvcVHa8",225013,"FALSE","55","contemporary country","country","country road","contemporary country","country"
"865",67,"Young Dumb & Broke","Khalid",2018,0.798,0.539,1,-6.351,1,0.0421,0.199,0,0.165,0.394,137,"5Z3GHaZ6ec9bsiI5BenrbY",202547,"FALSE","80","pop","uk pop","pop","uk pop","pop"
"866",68,"One Kiss","Calvin Harris  Dua Lipa",2018,0.791,0.862,9,-3.24,0,0.11,0.037,0,0.0814,0.592,124,"7ef4DlsgrMEH11cDZd32M6",214847,"FALSE","81","atl hip hop","dirty south rap","gangster rap","hip hop","pop rap"
"867",69,"Natural","Imagine Dragons",2018,0.704,0.611,2,-6.112,1,0.0409,0.217,0,0.0812,0.22,100,"2FY7b99s15jUprqC0M5NCT",189467,"FALSE","80","dance pop","hip hop","miami hip hop","pop","pop rap"
"868",70,"You Make It Easy","Jason Aldean",2018,0.375,0.574,7,-5.305,1,0.0315,0.143,0,0.11,0.406,132,"6EGAfJaLUFzhS4zRBIEQ2J",196800,"FALSE","70","hip hop","pop rap","rap","southern hip hop","trap"
